grupo, algorithm, heuristic ,weight ,domain, instance, cost,h0, generated, time, gen_per_sec
x, wida, PDB, 2, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 75, 82, 3867, 0.001215, 3.18272e+06
x, wida, PDB, 2, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 73, 82, 58839, 0.009958, 5.90872e+06
x, wida, PDB, 2, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 77, 86, 15745, 0.002707, 5.8164e+06
x, wida, PDB, 2, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 75, 82, 34169, 0.006006, 5.68914e+06
x, wida, PDB, 2, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 80, 84, 1089670, 0.175756, 6.1999e+06
x, wida, PDB, 2, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 78, 84, 12009, 0.002241, 5.35877e+06
x, wida, PDB, 2, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 68, 72, 13107, 0.002337, 5.60847e+06
x, wida, PDB, 2, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 56, 60, 20356, 0.0043, 4.73395e+06
x, wida, PDB, 2, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 62, 64, 23828, 0.004249, 5.60791e+06
x, wida, PDB, 2, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 58, 68, 9620, 0.001782, 5.39843e+06
x, wida, PDB, 2, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 81, 86, 55214, 0.010364, 5.32748e+06
x, wida, PDB, 2, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 81, 90, 257895, 0.042719, 6.03701e+06
x, wida, PDB, 2, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 61, 70, 110207, 0.018615, 5.92033e+06
x, wida, PDB, 2, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 64, 76, 2267, 0.00046, 4.92826e+06
x, wida, PDB, 2, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 79, 90, 67162, 0.011157, 6.01972e+06
x, wida, PDB, 2, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 80, 88, 211302, 0.0346, 6.10699e+06
x, wida, PDB, 2, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 44, 52, 43304, 0.007442, 5.81887e+06
x, wida, PDB, 2, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 88, 96, 3916, 0.000824, 4.75243e+06
